Planet,a_AU,P_yr,v_km_s,e,i_deg,rot_period_h,eq_incl_deg,M_kg,R_eq_km,density,rings,T_mean_K
Mercury,0.3871,0.2408,47.9,0.206,7,1407.6,0,3.30E+23,2439.5,5.43,No,440
Venus,0.7233,0.6152,35,0.007,3.39,-5832.5,177.3,4.87E+24,6052,5.24,No,737
Earth,1,1,29.8,0.017,0,23.9,23.4,5.97E+24,6378,5.52,No,288
Mars,1.5273,1.8809,24.1,0.093,1.85,24.6,25.2,6.42E+23,3397,3.04,No,208
Ceres,2.76596,4.599,17.882,0.07976,10.587,9,3,9.00E+21,473,2.16,No,168
Jupiter,5.2028,11.862,13.1,0.048,1.31,9.9,3.1,1.90E+27,71490,1.33,Yes,163
Saturn,9.5388,29.458,9.6,0.056,2.49,10.7,26.7,5.68E+26,560270,0.7,Yes,133
Uranus,19.1914,84.01,6.8,0.046,0.77,-17.2,97.9,8.68E+25,25560,1.3,Yes,78
Neptune,30.0611,164.79,5.4,0.01,1.77,16.1,29.6,1.02E+26,24765,1.76,Yes,73
Pluto,39.5294,248.54,4.7,0.248,17.15,-153,122.5,1.30E+22,1150,1.1,No,44
